Analysis,Category,Metric,Conformer_Mean,Transformer_Mean,Difference_C_minus_T,CI_2.5,CI_97.5,Welch_t,Welch_p,N_Conformer,N_Transformer
Conformer vs non-Whisper Transformer,Acoustic,Center_of_Mass,0.37760045670670433,0.38452568229251377,-0.006925225585809436,-0.0611139125215675,0.052970523095687234,-0.217195710448756,0.8325187122998616,7,5
Conformer vs non-Whisper Transformer,Gender,Center_of_Mass,0.28703078268692417,0.3559437340650452,-0.06891295137812103,-0.15166730422455324,0.010426383177818683,-1.5208219006823989,0.16351964033062802,7,5
Conformer vs non-Whisper Transformer,Accent,Center_of_Mass,0.381687504542711,0.4353061946298,-0.05361869008708903,-0.12523484205516303,0.01685733706081239,-1.342385251529697,0.20975486150304465,7,5
Conformer vs non-Whisper Transformer,Phoneme,Center_of_Mass,0.3688499339609939,0.46068569264697545,-0.09183575868598154,-0.19075168391493758,0.001246461956860805,-1.7374811953407692,0.11303989195518571,7,5
Conformer vs non-Whisper Transformer,Duration,Center_of_Mass,0.5786803086195558,0.5145387701513032,0.06414153846825255,0.01902414065767247,0.10538436236803306,2.659960245439519,0.02649687553415587,7,5
